,length,name,time
0,50,Katie LEDECKY,28.39
1,100,Katie LEDECKY,30.42
2,150,Katie LEDECKY,30.2
3,200,Katie LEDECKY,30.94
4,250,Katie LEDECKY,30.87
5,300,Katie LEDECKY,31.28
6,350,Katie LEDECKY,30.92
7,400,Katie LEDECKY,31.32
8,450,Katie LEDECKY,31.21
9,500,Katie LEDECKY,31.56
10,550,Katie LEDECKY,31.28
11,600,Katie LEDECKY,31.63
12,650,Katie LEDECKY,31.36
13,700,Katie LEDECKY,31.43
14,750,Katie LEDECKY,31.32
15,800,Katie LEDECKY,30.5
16,50,GARCIA BELMONTE,28.97
17,100,GARCIA BELMONTE,30.98
18,150,GARCIA BELMONTE,31.29
19,200,GARCIA BELMONTE,31.18
20,250,GARCIA BELMONTE,31.36
21,300,GARCIA BELMONTE,31.52
22,350,GARCIA BELMONTE,31.7
23,400,GARCIA BELMONTE,31.51
24,450,GARCIA BELMONTE,31.29
25,500,GARCIA BELMONTE,31.2
26,550,GARCIA BELMONTE,31.3
27,600,GARCIA BELMONTE,31.13
28,650,GARCIA BELMONTE,31.0
29,700,GARCIA BELMONTE,31.3
30,750,GARCIA BELMONTE,31.82
31,800,GARCIA BELMONTE,31.21
32,50,Rebecca ADLINGTON,28.65
33,100,Rebecca ADLINGTON,30.33
34,150,Rebecca ADLINGTON,31.01
35,200,Rebecca ADLINGTON,31.08
36,250,Rebecca ADLINGTON,31.08
37,300,Rebecca ADLINGTON,31.03
38,350,Rebecca ADLINGTON,30.96
39,400,Rebecca ADLINGTON,31.36
40,450,Rebecca ADLINGTON,31.6
41,500,Rebecca ADLINGTON,31.63
42,550,Rebecca ADLINGTON,31.96
43,600,Rebecca ADLINGTON,31.71
44,650,Rebecca ADLINGTON,31.83
45,700,Rebecca ADLINGTON,32.07
46,750,Rebecca ADLINGTON,32.3
47,800,Rebecca ADLINGTON,31.72
48,50,Lauren BOYLE,28.72
49,100,Lauren BOYLE,31.0
50,150,Lauren BOYLE,30.95
51,200,Lauren BOYLE,31.45
52,250,Lauren BOYLE,31.2
53,300,Lauren BOYLE,31.59
54,350,Lauren BOYLE,31.33
55,400,Lauren BOYLE,31.66
56,450,Lauren BOYLE,31.81
57,500,Lauren BOYLE,32.19
58,550,Lauren BOYLE,32.01
59,600,Lauren BOYLE,32.5
60,650,Lauren BOYLE,32.06
61,700,Lauren BOYLE,32.36
62,750,Lauren BOYLE,31.63
63,800,Lauren BOYLE,30.26
64,50,Lotte FRIIS,28.47
65,100,Lotte FRIIS,30.23
66,150,Lotte FRIIS,31.0
67,200,Lotte FRIIS,31.11
68,250,Lotte FRIIS,31.26
69,300,Lotte FRIIS,31.6
70,350,Lotte FRIIS,31.05
71,400,Lotte FRIIS,31.41
72,450,Lotte FRIIS,31.57
73,500,Lotte FRIIS,31.38
74,550,Lotte FRIIS,31.88
75,600,Lotte FRIIS,32.13
76,650,Lotte FRIIS,32.47
77,700,Lotte FRIIS,32.76
78,750,Lotte FRIIS,33.3
79,800,Lotte FRIIS,32.24
80,50,Boglarka KAPAS,29.41
81,100,Boglarka KAPAS,31.16
82,150,Boglarka KAPAS,31.6
83,200,Boglarka KAPAS,31.6
84,250,Boglarka KAPAS,31.37
85,300,Boglarka KAPAS,31.69
86,350,Boglarka KAPAS,31.74
87,400,Boglarka KAPAS,31.83
88,450,Boglarka KAPAS,31.7
89,500,Boglarka KAPAS,31.94
90,550,Boglarka KAPAS,31.71
91,600,Boglarka KAPAS,32.01
92,650,Boglarka KAPAS,32.0
93,700,Boglarka KAPAS,31.99
94,750,Boglarka KAPAS,32.27
95,800,Boglarka KAPAS,29.87
96,50,Coralie BALMY,29.25
97,100,Coralie BALMY,31.27
98,150,Coralie BALMY,31.74
99,200,Coralie BALMY,31.69
100,250,Coralie BALMY,31.75
101,300,Coralie BALMY,31.9
102,350,Coralie BALMY,32.07
103,400,Coralie BALMY,31.99
104,450,Coralie BALMY,31.83
105,500,Coralie BALMY,31.94
106,550,Coralie BALMY,32.27
107,600,Coralie BALMY,32.29
108,650,Coralie BALMY,32.37
109,700,Coralie BALMY,32.77
110,750,Coralie BALMY,32.8
111,800,Coralie BALMY,31.33
